,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
845,CHEMBL1242552,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc([N+](=O)[O-])cc4)n3)cc12,0.201,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F976E90>,0.8179124315538594
846,CHEMBL1242643,CC1CN(c2ccc(-c3nc(-c4ccc5oc6c(C(=O)O)cccc6c5c4)cs3)cc2)CC(C)O1,0.187,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F976EE0>,0.8294437363854039
847,CHEMBL1242827,O=C(O)/C=C/c1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,0.62,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F976F30>,0.5379444375946745
848,CHEMBL408382,Cc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1,0.33,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F976F80>,0.7189237334319262
849,CHEMBL261362,O=C(Nc1cccc(F)c1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,0.027000000000000003,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977030>,0.9733612415243368
850,CHEMBL599257,CCOC(=O)c1c(-c2ccc(-c3cccc(OC)c3)cc2)csc1NC(=O)c1ccccc1C(=O)O,4.8,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977080>,0.00822974704902003
851,CHEMBL1165682,CCOC(=O)C1=CC(c2ccc(F)cc2)C2=C(CC(C)(C)CC2=O)N1,4.7,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9770D0>,0.009095277101695816
852,CHEMBL260442,N#Cc1ccc2cc(C(F)(F)P(=O)(O)O)c(Br)cc2c1,0.31,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977120>,0.7334469562242892
853,CHEMBL248490,O=C1CC(c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977170>,0.6187833918061408
854,CHEMBL246660,N#Cc1ccc2sc(N[C@@H](Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)c3nc4ccccc4[nH]3)nc2c1,1.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9771C0>,0.33287108369807955
855,CHEMBL394382,O=C1CC(c2ccc(C[C@H](Nc3nc4cc(Br)ccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.62,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977210>,0.5379444375946745
856,CHEMBL245831,O=C1CC(c2ccc(C[C@H](Nc3nc4c(C(F)(F)F)cccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.74,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977260>,0.4771139155210344
857,CHEMBL1650889,COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2-c2cn(CCCC(=O)Nc3cccc4ccccc34)nn2)cc1,0.19,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F9772B0>,0.8269591339433623
858,CHEMBL245425,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(C(F)(F)F)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.33,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002D74F977300>,0.7189237334319262
