,mol_name,mol_smiles,mol_act,mol_fp
414,CHEMBL2424687,N#CC1=C(N)N(c2ccccc2)N=C2COCC=C21,0.35,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F350>
415,CHEMBL4075069,CCOS(=O)(=O)/C=C/c1ccc(OCc2ccc(COc3ccc(/C=C/S(=O)(=O)OCC)cc3)c(C(=O)Nc3ccc(Oc4cccc(C(F)(F)F)c4)cc3)c2)cc1,0.35,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F3A0>
416,CHEMBL549372,CC1(C)SCC(CCC(=O)Nc2ccc3c(c2)CO[C@H](C(=O)O)C3)S1,0.3537,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F3F0>
417,CHEMBL24900,O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4coc5ccccc45)cc3)cc2)cc1O,0.354,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F440>
418,CHEMBL3824236,COC(=O)CN(c1ccc(CN(c2ccc(OCc3ccccc3)c(C(=O)OC)c2)S(=O)(=O)Cc2ccccc2)cc1)S(C)(=O)=O,0.355,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F490>
419,CHEMBL557861,CCCCO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,0.3583,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F4E0>
420,CHEMBL283635,O=C(O)COc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.36,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F530>
421,CHEMBL280992,O=C(O)c1ccc(COc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1,0.36,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F580>
422,CHEMBL428651,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)c(Cl)c1)c1ccccc1,0.36,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F5D0>
423,CHEMBL280992,O=C(O)c1ccc(COc2ccc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)cc2)cc1,0.36308,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F620>
424,CHEMBL283635,O=C(O)COc1ccc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.36308,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F670>
425,CHEMBL25243,CCCCc1oc2ccccc2c1Cc1ccc2c(Br)c(OC(Cc3ccccc3)C(=O)O)ccc2c1,0.37,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F6C0>
426,CHEMBL7152,CCCC/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)oc2-c2ccccc2)c1,0.37,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F710>
427,CHEMBL276648,O=P(O)(O)C(F)(F)c1ccc(C(c2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C(c2ccccc2)n2nnc3ccccc32)cc1,0.37,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F760>
428,CHEMBL562392,CCCO[C@@H](Cc1ccc(NC(=O)CCCC[C@@H]2CCSS2)cc1)C(=O)O,0.3737,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F7B0>
429,CHEMBL24680,CCCCc1oc2ccccc2c1Cc1ccc2c(I)c(O)ccc2c1,0.38,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F800>
430,CHEMBL550462,O=C(CCCCc1cccs1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,0.3837,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F850>
431,CHEMBL109290,Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,0.384,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F8A0>
432,CHEMBL184041,Cc1cc(-c2c3ccccc3c(Br)c3sc(C)c(C)c23)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,0.384,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F8F0>
433,CHEMBL184041,Cc1cc(-c2c3ccccc3c(Br)c3sc(C)c(C)c23)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,0.384,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F940>
434,CHEMBL556076,CC1(C)SCC(CCC(=O)Nc2ccc3c(c2)C[C@@H](C(=O)O)OC3)S1,0.3857,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F990>
435,CHEMBL108721,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,0.386,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968F9E0>
436,CHEMBL1242735,O=C(O)c1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,0.38799999999999996,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FA30>
437,CHEMBL9070,COC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)O,0.39,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FA80>
438,CHEMBL108721,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,0.39,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FAD0>
439,CHEMBL1242736,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4ccc(I)cc4)n3)cc12,0.395,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FB20>
440,CHEMBL193134,O=C(O)[C@H](Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1)c1ccccc1,0.39810999999999996,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FB70>
441,CHEMBL3427125,CCCCCCCCCCCCCCCC(=O)C1=C(O)C(COC(C)=O)OC1=O,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FBC0>
442,CHEMBL3427124,CCCCCCCCCCCCCCCC(=O)C1=C(O)C(COS(C)(=O)=O)OC1=O,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FC10>
443,CHEMBL395386,N#Cc1cc(C[C@H](Nc2nc3ccccc3s2)c2nc3ccccc3[nH]2)ccc1C1CC(=O)NS1(=O)=O,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FC60>
444,CHEMBL193134,O=C(O)[C@H](Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1)c1ccccc1,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FCB0>
445,CHEMBL3808919,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)c(CC=C(C)C)c(O)c3c2=O)c1O,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FD00>
446,CHEMBL110642,C=C1OC(=O)C(C(=O)CCCCCCCCCCCCCCC)=C1O,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FD50>
447,CHEMBL4087797,CCOS(=O)(=O)/C=C/c1ccc(OCc2ccc(COc3ccc(/C=C/S(=O)(=O)OCC)cc3)c(C(=O)Nc3ccc(Oc4ccc(Cl)cc4)cc3)c2)cc1,0.4,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FDA0>
448,CHEMBL3350944,Cc1ccc2oc(Cc3ccccc3)c(-c3ccc(-c4ccc(O[C@H](Cc5ccccc5)C(=O)O)cc4)cc3)c2c1,0.41,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FDF0>
449,CHEMBL184041,Cc1cc(-c2c3ccccc3c(Br)c3sc(C)c(C)c23)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,0.41,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FE40>
450,CHEMBL1095726,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccsc2C(=O)O)[nH]n1,0.41,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FE90>
451,CHEMBL396583,O=C1CC(c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4cc(Cl)ccc4[nH]3)cc2)S(=O)(=O)N1,0.41,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FEE0>
452,CHEMBL584481,O=C1/C(=C/c2cn(-c3ccccc3)nc2-c2ccc(OCc3ccccc3F)cc2)SC(=S)N1CCS(=O)(=O)O,0.42,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FF30>
453,CHEMBL246036,O=C1CC(c2ccc(C[C@H](Nc3nc4cc(F)ccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.42,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC968FF80>
454,CHEMBL4095230,CCCCC/C=C\C/C=C\CCCCCCCC1(O)CC(=O)c2c(O)cc(O)cc2O1,0.42,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690030>
455,CHEMBL1242826,O=C(O)c1cccc2c1oc1ccc(-c3csc(-c4cccc(I)c4)n3)cc12,0.425,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690080>
456,CHEMBL559312,O=C(CCCCc1cccs1)Nc1ccc2c(c1)C[C@@H](C(=O)O)OC2,0.429,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96900D0>
457,CHEMBL301909,CCOC(=O)CCC1=C(c2ccccc2)c2ccccc2C(=O)C1=O,0.43,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690120>
458,CHEMBL2206067,CNc1nc(N)nc2nc(-c3c(N4CCCC4)cccc3C(F)(F)F)ccc12,0.43,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690170>
459,CHEMBL2262836,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96901C0>
460,CHEMBL507502,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690210>
461,CHEMBL59402,O=C1C=C(c2ccc(O)cc2)c2ccccc2C1=O,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690260>
462,CHEMBL246247,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(Cl)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96902B0>
463,CHEMBL279242,CCCCc1oc2ccccc2c1-c1ccc(-c2ccc(OC(Cc3ccccc3)C(=O)O)cc2)cc1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690300>
464,CHEMBL2262836,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690350>
465,CHEMBL24267,Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.44668,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96903A0>
466,CHEMBL504704,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3ccc([N+](=O)[O-])cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96903F0>
467,CHEMBL2263115,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc([N+](=O)[O-])cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690440>
468,CHEMBL24267,Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690490>
469,CHEMBL1644933,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96904E0>
470,CHEMBL4087528,CC/C=C\C/C=C\C/C=C\CCCCCCCC1(O)CC(=O)c2c(O)cc(O)cc2O1,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690530>
471,CHEMBL2263115,CC1(C)CC[C@]2(CC(=O)NC(Cc3ccc([N+](=O)[O-])cc3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.45,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690580>
472,CHEMBL1086020,O=C(O)/C=C/C(=O)Nc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1O,0.45708999999999994,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96905D0>
473,CHEMBL211061,CC(C)(C)c1cccc2[nH]c(C(Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)NS(=O)(=O)c3ccc(-c4ccccc4)cc3)nc12,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690620>
474,CHEMBL1938823,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C3CC(=O)NS3(=O)=O)c(F)c2)cc1,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690670>
475,CHEMBL416145,O=P(O)(O)C(F)(F)c1ccc(CC(C/C=C/c2ccccc2)(c2ccccc2)n2nnc3ccccc32)cc1,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96906C0>
476,CHEMBL247278,Cc1cc(C[C@H](Nc2nc3ccccc3s2)c2nc3ccccc3[nH]2)ccc1C1CC(=O)NS1(=O)=O,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690710>
477,CHEMBL565795,O=C1/C(=C/c2cn(-c3ccccc3)nc2-c2ccc(OCc3ccc(Cl)cc3)cc2)SC(=S)N1CCS(=O)(=O)O,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690760>
478,CHEMBL24140,O=C(O)/C=C\C(=O)Nc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)ccc1O,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96907B0>
479,CHEMBL377613,O=C1CC(c2ccc(CC(NS(=O)(=O)c3c(Cl)cccc3Cl)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.46,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690800>
480,CHEMBL25008,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2cc(Br)c(OCC(=O)O)c(Br)c2)cc1,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690850>
481,CHEMBL1938821,Cc1cc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)ccc1C1CC(=O)NS1(=O)=O,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96908A0>
482,CHEMBL396584,N#Cc1ccc2[nH]c([C@H](Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)Nc3nc4ccccc4s3)nc2c1,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96908F0>
483,CHEMBL398020,N#Cc1ccc2nc(N[C@@H](Cc3ccc(C4CC(=O)NS4(=O)=O)cc3)c3nc4ccccc4[nH]3)sc2c1,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690940>
484,CHEMBL3634683,CCOc1ccc(S(=O)(=O)Nc2ccc(N(Cc3ccc(N(CC(=O)OC)S(=O)(=O)CC)cc3)S(=O)(=O)Cc3ccccc3)cc2)cc1,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690990>
485,CHEMBL555017,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)O[C@]12C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]2(C/C=C(/C)C(=O)O)C4=O)C3=O,0.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96909E0>
486,CHEMBL278096,CCCCc1oc2ccccc2c1C(O)c1ccc2c(Br)c(O)ccc2c1,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690A30>
487,CHEMBL2206073,CNc1nc(N)nc2nc(-c3ccccc3C(F)(F)F)ccc12,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690A80>
488,CHEMBL248490,O=C1CC(c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690AD0>
489,CHEMBL1938822,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C3CC(=O)NS3(=O)=O)c(Br)c2)cc1,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690B20>
490,CHEMBL2216806,O=C(O)CN1C(=O)/C(=C/c2ccc(-c3ccc(OCc4ccccc4)cc3)cc2)SC1=S,0.48,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690B70>
491,CHEMBL4173968,CC(C)(C)c1ccc(Oc2ccc(-c3cnc(-c4ccc(O)c(O)c4)o3)cc2)cc1,0.48700000000000004,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690BC0>
492,CHEMBL1240790,CCc1ccc(Oc2ccc(NC(=O)c3cc(COc4ccc(C(=O)C(=O)O)cc4)ccc3COc3ccc(C(=O)C(=O)O)cc3)cc2)cc1,0.49,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690C10>
493,CHEMBL391816,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(F)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.49,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690C60>
494,CHEMBL3634681,COC(=O)CN(c1ccc(CN(c2ccc(N(Cc3ccccc3)S(C)(=O)=O)cc2)S(=O)(=O)Cc2ccccc2)cc1)S(C)(=O)=O,0.49200000000000005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690CB0>
495,CHEMBL3634681,COC(=O)CN(c1ccc(CN(c2ccc(N(Cc3ccccc3)S(C)(=O)=O)cc2)S(=O)(=O)Cc2ccccc2)cc1)S(C)(=O)=O,0.49200000000000005,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690D00>
496,CHEMBL246869,O=C1CC(c2ccc(C[C@H](Nc3nc4ccc(Br)cc4s3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690D50>
497,CHEMBL1938820,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)cc1,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690DA0>
498,CHEMBL2203315,CNc1nc(N)nc2nc(-c3ccccc3C(F)(F)F)c(C)cc12,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690DF0>
499,CHEMBL58762,O=C1C=C(c2cc(F)ccc2F)c2ccccc2C1=O,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690E40>
500,CHEMBL1163240,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4ccc(C(=O)O)c([N+](=O)[O-])c4)CC[C@]23C)C(=O)O1,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690E90>
501,CHEMBL3427127,CCCCCCCCCCCCCCCC(=O)C1=C(O)C(COC(=O)c2ccccc2C(=O)c2ccccc2)OC1=O,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690EE0>
502,CHEMBL4163641,CCC/C=C1\OC(=O)c2c(Oc3c(O)cc(O)c(C(=O)O)c3CCCCC)cc(OC)cc21,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690F30>
503,CHEMBL3810262,CC(C)=CCc1c(O)ccc(-c2coc3c(CC=C(C)C)c(O)cc(O)c3c2=O)c1O,0.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9690F80>
504,CHEMBL24557,CCCCc1oc2ccccc2c1Cc1ccc(-c2ccc(OCn3cnnn3)cc2)cc1,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691030>
505,CHEMBL2263112,CC1(C)CC[C@]2(CC(=O)NC(Cc3cccc(Cl)c3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691080>
506,CHEMBL2263112,CC1(C)CC[C@]2(CC(=O)NC(Cc3cccc(Cl)c3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96910D0>
507,CHEMBL447660,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3cccc(Cl)c3)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691120>
508,CHEMBL259050,COCc1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2c1,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691170>
509,CHEMBL3350940,Cc1sc(Cc2ccccc2)c(-c2ccc(-c3ccc(O[C@H](Cc4ccccc4)C(=O)O)cc3)cc2)c1C,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96911C0>
510,CHEMBL4084018,CCCc1cc(OC(=O)c2c(O)cc(O)cc2CCC)cc(O)c1C(=O)O,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691210>
511,CHEMBL2205520,CNc1nc(N)nc2nc(-c3c(Cl)cccc3Cl)ccc12,0.51,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691260>
512,CHEMBL550662,O=C(CCCc1cccs1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,0.5103,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96912B0>
513,CHEMBL1242458,Cc1ccc(-c2nc(-c3ccc4oc5c(C(=O)O)cccc5c4c3)cs2)cc1,0.515,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691300>
514,CHEMBL563436,O=C(CCCC[C@@H]1CCSC(c2ccccc2)(c2ccccc2)S1)Nc1ccc2c(c1)CO[C@H](C(=O)O)C2,0.5187,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691350>
515,CHEMBL24712,Oc1c(I)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1I,0.52,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96913A0>
516,CHEMBL506260,COc1cccc(CC(NC(=O)CCCC[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)c1,0.52,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96913F0>
517,CHEMBL2262834,COc1cccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)c1,0.52,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691440>
518,CHEMBL2262834,COc1cccc(CC(NC(=O)C[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)c1,0.52,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691490>
519,CHEMBL24712,Oc1c(I)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1I,0.52481,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC96914E0>
520,CHEMBL2262833,COc1ccccc1CC(NC(=O)C[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,0.53,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691530>
521,CHEMBL446573,COc1ccccc1CC(NC(=O)CCCC[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,0.53,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000021DC9691580>
