,mol_name,mol_smiles,mol_act,mol_fp,mol_prob
62,CHEMBL267022,O=C(c1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)c1ccccc1,2.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3BC0>,0.1353352832366127
63,CHEMBL1801439,Cc1ccc(S(=O)(=O)Oc2cc(OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)c(/C=C3\SC(=O)NC3=O)cc2Br)cc1,2.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3C10>,0.1353352832366127
64,CHEMBL190801,O=C1CN(c2ccccc2)S(=O)(=O)N1,2.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3B70>,0.0820849986238988
65,CHEMBL1078307,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,0.22,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3AD0>,0.8025187979624785
66,CHEMBL1078662,CCCCCCCCCCCCCCCc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1C(=O)O,0.59,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3A80>,0.5543272847345071
67,CHEMBL169,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,2.5,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC39E0>,0.0820849986238988
68,CHEMBL1801406,O=C1NC(=O)/C(=C/c2ccc(OCc3ccc(F)cc3)cc2OCc2ccccc2)S1,9.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3CB0>,0.00012340980408667956
69,CHEMBL25881,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1-c1ccc(-c2ccc(OC(Cc3ccccc3)C(=O)O)cc2)cc1,1.3,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3DA0>,0.2725317930340126
70,CHEMBL472400,CC1(C)CC[C@]2(CCC(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,2.1,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3DF0>,0.1224564282529819
71,CHEMBL509868,CC1(C)CC[C@]2(CCCCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.59,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3D50>,0.5543272847345071
72,CHEMBL452449,Cc1ccccc1CC(NC(=O)CCCC[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,0.55,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3D00>,0.5769498103804866
73,CHEMBL446573,COc1ccccc1CC(NC(=O)CCCC[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2)C(=O)O,0.53,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3C60>,0.5886049696783552
74,CHEMBL507502,CC1(C)CC[C@]2(CCCCC(=O)NC(Cc3ccc4c(c3)OCO4)C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0.44,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3F80>,0.6440364210831414
75,CHEMBL446073,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,5.97,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3EE0>,0.0025542414189929983
76,CHEMBL448816,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OCc6ccccc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,2.67,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3F30>,0.069252225309346
77,CHEMBL381584,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],0.015,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3E90>,0.9851119396030626
78,CHEMBL197929,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)Cc2cccs2)cc1,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3E40>,0.36787944117144233
79,CHEMBL198882,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,0.07400000000000001,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC3990>,0.9286716938412872
80,CHEMBL193233,COc1ccc(-c2ccccc2)cc1N1CC(=O)NS1(=O)=O,2.47,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC38A0>,0.08458485900156469
81,CHEMBL377236,COC(=O)/C1=C/c2c([nH]c3ccccc23)/C(C(=O)OC)=C\c2c1[nH]c1ccccc21,3.77,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC6080>,0.02305206328722557
82,CHEMBL267245,O=C(OCc1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,0.24,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000232C5DC60D0>,0.7866278610665535
